chunk_id,doc_id,source_file,chunk_index,heading_guess,chunk_text,start_char,end_char,char_count,possible_legal_section,created_at
companies_act_1967_c8232023ef_chunk_0001,companies_act_1967_c8232023ef,Companies Act 1967.pdf,1,[Page 1],"[Page 1]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
Companies Act 1967

Table of Contents
Long Title
Part 1 PRELIMINARY
1 Short title
2 Division into Parts
3 Repeals
4 Interpretation
5 Definition of subsidiary and holding company
5A Definition of ultimate holding company
5B Definition of wholly owned subsidiary
6 When corporations deemed to be related to each other
7 Interests in shares
7A Solvency statement and offence for making false statement
Part 2 ADMINISTRATION OF THIS ACT
8 Administration of Act and appointment of Registrar of Companies,
etc.
8A Inspection of books of corporation
8B Power of Magistrate to issue warrant to seize books",0,699,699,True,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0002,companies_act_1967_c8232023ef,Companies Act 1967.pdf,2,[Page 2],"etc.
8A Inspection of books of corporation
8B Power of Magistrate to issue warrant to seize books

[Page 2]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
8C Copies of or extracts from books to be admitted in evidence
8D Destruction, mutilation, etc., of company documents
8E Saving for advocates and solicitors
8F Investigation of certain matters
8G Saving for banks, insurance companies and certain financial
institutions
8H Security of information
9 (Repealed)
10 Company auditors
11 (Repealed)
12 Registers
12A Electronic transaction system
12B Rectification by Court
12C Rectification by Registrar on application
12D Rectification or updating on Registrar’s initiative
12E Exclusion of residential address from public access if contact
address is available
12F Cessation of exclusion of residential address from public access
13 Enforcement of duty to make returns
14 Relodging of lost registered documents
15 Size, durability and legibility of documents delivered to Registrar",602,1630,1028,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0003,companies_act_1967_c8232023ef,Companies Act 1967.pdf,3,[Page 3],"f lost registered documents
15 Size, durability and legibility of documents delivered to Registrar

[Page 3]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
16 (Repealed)
16A (Repealed)
Part 3 CONSTITUTION OF COMPANIES
Division 1 — Incorporation
17 Formation of companies
18 Private company
19 Registration and incorporation
20 Power to refuse registration
20A Minimum of one member
21 Membership of holding company
22 Requirements as to constitution
Division 2 — Powers
23 Capacity and powers of company
24 Power of company to provide for employees on cessation of
business
25 Ultra vires transactions
25A No constructive notice
25B Power of directors to bind company
25C Constitutional limitations: transactions with directors or their
associates
25D Persons connected with director in section 25C",1532,2376,844,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0004,companies_act_1967_c8232023ef,Companies Act 1967.pdf,4,[Page 4],"transactions with directors or their
associates
25D Persons connected with director in section 25C

[Page 4]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
26 General provisions as to alteration of constitution
26A Power to entrench provisions of constitution of company
27 Names of companies
28 Change of name
29 Omission of ""Limited"" or ""Berhad"" in names of limited
companies, other than companies registered under Charities Act 1994
29A Omission of ""Limited"" or ""Berhad"" in names of companies
registered under Charities Act 1994
30 Registration of unlimited company as limited company, etc.
31 Change from public to private company
32 Default in complying with requirements as to private companies
33 Alterations of objects in constitution
34 Alteration of constitution by company pursuant to repeal and
re-enactment of sections 10 and 14 of Residential Property Act 1976
35 Regulations for company
36 Model constitution
37 Adoption of model constitution
38 As to constitution of companies limited by guarantee
39 Effect of constitution
40 Copies of constitution
41 Ratification by company of contracts made before incorporation",2278,3455,1177,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0005,companies_act_1967_c8232023ef,Companies Act 1967.pdf,5,[Page 5],"tution
40 Copies of constitution
41 Ratification by company of contracts made before incorporation

[Page 5]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
41A Common seal
41B Execution of deeds by company
41C Alternative to sealing
42 (Repealed)
42A Company or foreign company with a charitable purpose which
contravenes Charities Act 1994 or regulations made thereunder may
be wound up or struck off register
Part 4 SHARES, DEBENTURES AND CHARGES
Division 1 — [Repealed by S 236/2002]
43 (Repealed)
44 (Repealed)
45 (Repealed)
45A (Repealed)
46 (Repealed)
47 (Repealed)
48 (Repealed)
49 (Repealed)
50 (Repealed)
50A (Repealed)
51 (Repealed)
52 (Repealed)",3357,4059,702,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0006,companies_act_1967_c8232023ef,Companies Act 1967.pdf,6,[Page 6],"47 (Repealed)
48 (Repealed)
49 (Repealed)
50 (Repealed)
50A (Repealed)
51 (Repealed)
52 (Repealed)

[Page 6]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
53 (Repealed)
54 (Repealed)
55 (Repealed)
55A (Repealed)
55B (Repealed)
56 (Repealed)
Division 2 — Restrictions on allotment and commencement of business
57 (Repealed)
58 (Repealed)
59 Restriction on allotment in certain cases
60 Requirements as to statements in lieu of prospectus
61 Restrictions on commencement of business in certain
circumstances
62 Restriction on varying contracts referred to in prospectus, etc.
Division 3 — Shares
62A No par value shares
62B Transitional provisions for section 62A
63 Return as to allotments by private companies
63A Return as to allotments by public companies
63B Lodgment of documents in relation to allotment",3961,4816,855,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0007,companies_act_1967_c8232023ef,Companies Act 1967.pdf,7,[Page 7],"63A Return as to allotments by public companies
63B Lodgment of documents in relation to allotment

[Page 7]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
63C Notice of increase in total amount paid up on shares
64 Rights and powers attaching shares
64A Issue of shares with different voting rights by public company
65 Differences in calls and payments, etc.
66 Share warrants
67 Use of share capital to pay expenses incurred in issue of new shares
68 Issue of shares for no consideration
69 (Repealed)
69A (Repealed)
69B (Repealed)
69C (Repealed)
69D (Repealed)
69E (Repealed)
69F (Repealed)
70 Redeemable preference shares
71 Power of company to alter its share capital
72 Validation of shares improperly issued
73 Redenomination of shares
73A Effect of redenomination
73B Notice of redenomination",4718,5565,847,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0008,companies_act_1967_c8232023ef,Companies Act 1967.pdf,8,[Page 8],"perly issued
73 Redenomination of shares
73A Effect of redenomination
73B Notice of redenomination

[Page 8]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
74 Rights of holders of classes of shares
74A Conversion of shares
75 Rights of holders of preference shares to be set out in constitution
76 Company financing dealings in its shares, etc.
76A Consequences of company financing dealings in its shares, etc.
76B Company may acquire its own shares
76C Authority for off-market acquisition on equal access scheme
76D Authority for selective off-market acquisition
76DA Contingent purchase contract
76E Authority for market acquisition
76F Payments to be made only if company is solvent
76G Reduction of capital or profits or both on cancellation of
repurchased shares
76H Treasury shares
76I Treasury shares: maximum holdings
76J Treasury shares: voting and other rights
76K Treasury shares: disposal and cancellation
77 Options over unissued shares
78 Power of company to pay interest out of capital in certain cases
Division 3A — Reduction of share capital",5467,6573,1106,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0009,companies_act_1967_c8232023ef,Companies Act 1967.pdf,9,[Page 9],"f company to pay interest out of capital in certain cases
Division 3A — Reduction of share capital

[Page 9]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
78A Preliminary
78B Reduction of share capital by private company
78C Reduction of share capital by public company
78D Creditor’s right to object to company’s reduction
78E Position at end of period for creditor objections
78F Power of Court where creditor objection made
78G Reduction by special resolution subject to Court approval
78H Creditor protection
78I Court order approving reduction
78J Offences for making groundless or false statements
78K Liability of members on reduced shares
Division 4 — Substantial shareholdings
79 Application and interpretation of Division
80 Persons obliged to comply with Division
81 Substantial shareholdings and substantial shareholders
82 Substantial shareholder to notify company of interests
83 Substantial shareholder to notify company of change in interests
84 Person who ceases to be substantial shareholder to notify company
85 References to operation of section 7
86 Persons holding shares as trustees",6475,7627,1152,False,2026-05-19T15:42:45.565528+00:00
companies_act_1967_c8232023ef_chunk_0010,companies_act_1967_c8232023ef,Companies Act 1967.pdf,10,[Page 10],"er to notify company
85 References to operation of section 7
86 Persons holding shares as trustees

[Page 10]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
87 Registrar may extend time for giving notice under this Division
88 Company to keep register of substantial shareholders
89 Offences against certain sections
90 Defence to prosecutions
91 Powers of Court with respect to defaulting substantial
shareholders
92 (Repealed)
Division 5 — Debentures
93 Register of debenture holders and copies of trust deed
94 Specific performance of contracts
95 Perpetual debentures
96 Reissue of redeemed debentures
97 (Repealed)
98 (Repealed)
99 (Repealed)
100 Power of Court in relation to certain irredeemable debentures
101 (Repealed)
102 (Repealed)
103 (Repealed)
104 (Repealed)

[Page 11]
Singapore Statutes Online
Current version as at 17 May 2026
PDF created date on: 17 May 2026
105 (Repealed)
106 (Repealed)
Division 5A — [Repealed by S 236/2002]
106A (Repealed)
106B (Repealed)
106C (Repealed)
106D (Repealed)
106E (Repealed)
106F (Repealed)
106G (Repealed)
106H (Repealed)
106I (Repealed)
106J (Repealed)
106K (Repealed)
106L (Repealed)
Division 6 — [Repealed by S 236/2002]
107 (Repealed)
108 (Repealed)
109 (Repealed)
110 (Repealed)",7529,8811,1282,False,2026-05-19T15:42:45.565528+00:00
